store_nbr,city,type,avg_transactions,overall_avg,performance
44,Quito,A,4336.97,1694.60,"Above Average"
47,Quito,A,3897.32,1694.60,"Above Average"
45,Quito,A,3697.74,1694.60,"Above Average"
46,Quito,A,3571.92,1694.60,"Above Average"
3,Quito,D,3201.88,1694.60,"Above Average"
48,Quito,A,3045.79,1694.60,"Above Average"
8,Quito,D,2767.29,1694.60,"Above Average"
49,Quito,A,2727.55,1694.60,"Above Average"
50,Ambato,A,2614.46,1694.60,"Above Average"
11,Cayambe,B,2370.22,1694.60,"Above Average"
52,Manta,A,2333.84,1694.60,"Above Average"
34,Guayaquil,B,2302.75,1694.60,"Above Average"
24,Guayaquil,D,2262.65,1694.60,"Above Average"
9,Quito,B,2097.95,1694.60,"Above Average"
2,Quito,D,1920.04,1694.60,"Above Average"
6,Quito,D,1829.29,1694.60,"Above Average"
7,Quito,D,1788.65,1694.60,"Above Average"
51,Guayaquil,A,1713.54,1694.60,"Above Average"
38,Loja,D,1708.61,1694.60,"Above Average"
20,Quito,B,1564.95,1694.60,"Below Average"
1,Quito,D,1523.84,1694.60,"Below Average"
4,Quito,D,1502.99,1694.60,"Below Average"
27,Daule,D,1482.22,1694.60,"Below Average"
37,Cuenca,D,1478.97,1694.60,"Below Average"
39,Cuenca,B,1424.01,1694.60,"Below Average"
5,"Santo Domingo",D,1400.05,1694.60,"Below Average"
14,Riobamba,C,1396.73,1694.60,"Below Average"
31,Babahoyo,B,1374.28,1694.60,"Below Average"
17,Quito,C,1371.26,1694.60,"Below Average"
18,Quito,B,1322.66,1694.60,"Below Average"
15,Ibarra,C,1318.55,1694.60,"Below Average"
43,Esmeraldas,E,1305.24,1694.60,"Below Average"
40,Machala,C,1300.65,1694.60,"Below Average"
19,Guaranda,C,1257.45,1694.60,"Below Average"
12,Latacunga,C,1212.16,1694.60,"Below Average"
28,Guayaquil,E,1167.32,1694.60,"Below Average"
21,"Santo Domingo",B,1126.86,1694.60,"Below Average"
29,Guayaquil,E,1122.94,1694.60,"Below Average"
36,Libertad,E,1120.65,1694.60,"Below Average"
42,Cuenca,D,1114.79,1694.60,"Below Average"
23,Ambato,D,1066.29,1694.60,"Below Average"
41,Machala,D,1051.97,1694.60,"Below Average"
33,Quevedo,C,1038.74,1694.60,"Below Average"
53,Manta,D,1011.21,1694.60,"Below Average"
10,Quito,C,986.56,1694.60,"Below Average"
25,Salinas,D,941.40,1694.60,"Below Average"
13,Latacunga,C,938.25,1694.60,"Below Average"
16,"Santo Domingo",C,873.28,1694.60,"Below Average"
54,"El Carmen",C,865.92,1694.60,"Below Average"
22,Puyo,C,751.35,1694.60,"Below Average"
30,Guayaquil,C,707.63,1694.60,"Below Average"
35,Playas,C,670.58,1694.60,"Below Average"
32,Guayaquil,C,635.20,1694.60,"Below Average"
26,Guayaquil,D,634.72,1694.60,"Below Average"
