store_nbr,top_product,total_sales
1,"GROCERY I",3743823.00
2,"GROCERY I",6591703.80
3,"GROCERY I",12970467.97
4,"GROCERY I",5636343.59
5,"GROCERY I",5262681.66
6,"GROCERY I",7806646.17
7,"GROCERY I",6247974.00
8,"GROCERY I",7909966.00
9,"GROCERY I",10353098.96
10,"GROCERY I",4126220.17
11,"GROCERY I",11044948.46
12,"GROCERY I",4208523.91
13,"GROCERY I",4570080.78
14,"GROCERY I",4463305.51
15,"GROCERY I",4578222.11
16,"GROCERY I",4307272.25
17,"GROCERY I",6453635.22
18,"GROCERY I",4138689.34
19,"GROCERY I",5085657.65
20,"GROCERY I",4785023.90
21,"GROCERY I",3162815.93
22,"GROCERY I",1570262.31
23,"GROCERY I",3339714.00
24,"GROCERY I",6343142.00
25,BEVERAGES,2963941.00
26,"GROCERY I",2720338.00
27,"GROCERY I",5357934.00
28,"GROCERY I",6202452.28
29,"GROCERY I",3096933.15
30,"GROCERY I",2616631.65
31,"GROCERY I",6607823.43
32,"GROCERY I",2476687.58
33,"GROCERY I",5162834.94
34,"GROCERY I",6393696.68
35,"GROCERY I",2924094.87
36,"GROCERY I",5377028.86
37,"GROCERY I",6132254.00
38,"GROCERY I",6334058.02
39,"GROCERY I",7199976.76
40,"GROCERY I",7272900.94
41,"GROCERY I",4892960.00
42,"GROCERY I",2337305.57
43,"GROCERY I",5552270.47
44,"GROCERY I",16386055.04
45,"GROCERY I",16349751.29
46,"GROCERY I",14342262.00
47,"GROCERY I",15514528.49
48,"GROCERY I",12830994.11
49,"GROCERY I",11087980.00
50,"GROCERY I",10121781.30
51,"GROCERY I",8233707.00
52,"GROCERY I",736213.00
53,"GROCERY I",3211885.00
54,"GROCERY I",4450789.80
